啊啊啊|a1 a1 a1
面如傅粉|mian4 ru2 fu4 fen3
面如冠玉|mian4 ru2 guan4 yu4
面如灰土|mian4 ru2 hui1 tu3
面如满月|mian4 ru2 man3 yue4
面如凝脂|mian4 ru2 ning2 zhi1
面如死灰|mian4 ru2 si3 hui1
面如土色|mian4 ru2 tu3 se4
面如玉|mian4 ru2 yu4
绵软|mian2 ruan3
面若死灰|mian4 ruo4 si3 hui1
面色|mian4 se4
面色如土|mian4 se4 ru2 tu3
棉纱|mian2 sha1
面纱|mian4 sha1
面善|mian4 shan4
面商|mian4 shang1
免伤锁甲|mian3 shang1 suo3 jia3
面折庭争|mian4 she1 ting2 zheng1
面折廷诤|mian4 she1 ting2 zheng4
面神经|mian4 shen2 jing1
面生|mian4 sheng1
免试|mian3 shi4
眄视|mian3 shi4
面世|mian4 shi4
面市|mian4 shi4
面试|mian4 shi4
面食|mian4 shi2
面是背非|mian4 shi4 bei4 fei1
面是心非|mian4 shi4 xin1 fei1
眄视指使|mian3 shi4 zhi3 shi3
面授|mian4 shou4
面首|mian4 shou3
面授机宜|mian4 shou4 ji1 yi2
面熟|mian4 shu2
眠霜卧雪|mian2 shuang1 wo4 xue3
免税|mian3 shui4
眠思梦想|mian2 si1 meng4 xiang3
面似靴皮|mian4 si4 xue1 pi2
免俗|mian3 su2
面塑|mian4 su4
棉毯|mian2 tan3
面瘫|mian4 tan1
面谈|mian4 tan2
面瘫颗粒|mian4 tan1 ke1 li4
绵糖|mian2 tang2
面汤|mian4 tang1
棉套|mian2 tao4
棉桃|mian2 tao2
免提|mian3 ti2
棉田|mian2 tian2
腼腆|mian3 tian3
面条|mian4 tiao2
面条儿|mian4 tiao2 er2
眠痛宁|mian2 tong4 ning2
面团|mian4 tuan2
面团团|mian4 tuan2 tuan2
勉为其难|mian3 wei2 qi2 nan2
面纹|mian4 wen2
面窝|mian4 wo1
面晤|mian4 wu4
面无惭色|mian4 wu2 can2 se4
面无人色|mian4 wu2 ren2 se4
勉县|mian3 xian4
棉线|mian2 xian4
棉纤维|mian2 xian1 wei2
缅想|mian3 xiang3
面向|mian4 xiang4
面相|mian4 xiang1
面向主体|mian4 xiang4 zhu3 ti3
棉鞋|mian2 xie2
面谢|mian4 xie4
面斜裂|mian4 xie2 lie4
免刑|mian3 xing2
面型|mian4 xing2
面形|mian4 xing2
面形美|mian4 xing2 mei3
免修|mian3 xiu1
棉絮|mian2 xu4
面叙|mian4 xu4
棉蚜虫|mian2 ya2 chong2
免验|mian3 yan4
眠炎|mian2 yan2
绵延|mian2 yan2
面颜|mian4 yan2
眠炎火炬|mian2 yan2 huo3 ju4
眠炎火盆|mian2 yan2 huo3 pen2
腼颜人世|mian3 yan2 ren2 shi4
眠炎圣殿|mian2 yan2 sheng4 dian4
腼颜事仇|mian3 yan2 shi4 chou2
腼颜事敌|mian3 yan2 shi4 di2
腼颜天壤|mian3 yan2 tian1 rang3
绵言细语|mian2 yan2 xi4 yu3
沔阳|mian3 yang2
绵羊|mian2 yang2
绵阳|mian2 yang2
绵羊皮|mian2 yang2 pi2
绵阳市|mian2 yang2 shi4
沔阳县|mian3 yang2 xian4
免役|mian3 yi4
免疫|mian3 yi4
棉衣|mian2 yi1
面议|mian4 yi4
免疫变形|mian3 yi4 bian4 xing2
免疫缠绕|mian3 yi4 chan5 rao4
免疫嘲讽|mian3 yi4 chao2 feng3
免疫促进|mian3 yi4 cu4 jin4
免疫电|mian3 yi4 dian4
免疫电泳|mian3 yi4 dian4 yong3
免疫定身|mian3 yi4 ding4 shen1
免疫毒素|mian3 yi4 du2 su4
免疫反应|mian3 yi4 fan3 ying4
免疫防御|mian3 yi4 fang2 yu4
免疫化学|mian3 yi4 hua4 xue2
免疫昏迷|mian3 yi4 hun1 mi2
免疫活性|mian3 yi4 huo2 xing4
免疫剂量|mian3 yi4 ji4 liang4
免疫记忆|mian3 yi4 ji4 yi4
免疫监视|mian3 yi4 jian1 shi4
免疫金|mian3 yi4 jin1
免疫抗体|mian3 yi4 kang4 ti3
免疫恐惧|mian3 yi4 kong3 ju4
免疫扩散|mian3 yi4 kuo4 san4
免疫力|mian3 yi4 li4
免疫疗法|mian3 yi4 liao2 fa3
免疫魅惑|mian3 yi4 mei4 huo4
免疫魔法|mian3 yi4 mo2 fa3
免疫耐受|mian3 yi4 nai4 shou4
免疫排斥|mian3 yi4 pai2 chi4
免疫屏障|mian3 yi4 ping2 zhang4
免疫潜能|mian3 yi4 qian2 neng2
免疫缺陷|mian3 yi4 que1 xian4
免疫调节|mian3 yi4 tiao2 jie2
免疫网络|mian3 yi4 wang3 luo4
免疫物理|mian3 yi4 wu4 li3
免疫细胞|mian3 yi4 xi4 bao1
免疫学|mian3 yi4 xue2
免疫血清|mian3 yi4 xue4 qing1
免疫抑制|mian3 yi4 yi4 zhi4
免疫应答|mian3 yi4 ying4 da2
免疫荧光|mian3 yi4 ying2 guang1
免疫诱捕|mian3 yi4 you4 bu3
免疫预防|mian3 yi4 yu4 fang2
免疫原|mian3 yi4 yuan2
免疫原性|mian3 yi4 yuan2 xing4
免疫粘连|mian3 yi4 zhan1 lian2
免疫诊断|mian3 yi4 zhen3 duan4
绵茵藤|mian2 yin1 teng2
面引廷争|mian4 yin3 ting2 zheng1
面有菜色|mian4 you3 cai4 se4
面有难色|mian4 you3 nan2 se4
免予|mian3 yu3
免于|mian3 yu2
面谕|mian4 yu4
面誉背非|mian4 yu4 bei4 fei1
面誉背毁|mian4 yu4 bei4 hui3
面谀背毁|mian4 yu2 bei4 hui3
绵远|mian2 yuan3
眠云卧石|mian2 yun2 wo4 shi2
免遭|mian3 zao1
免责|mian3 ze2
免战牌|mian3 zhan4 pai2
面罩|mian4 zhao4
面折廷争|mian4 zhe2 ting2 zheng1
免征|mian3 zheng1
面争庭论|mian4 zheng1 ting2 lun4
面正中裂|mian4 zheng4 zhong1 lie4
免职|mian3 zhi2
棉织|mian2 zhi1
绵纸|mian2 zhi3
面值|mian4 zhi2
棉织品|mian2 zhi1 pin3
面中线|mian4 zhong1 xian4
绵竹|mian2 zhu2
绵竹市|mian2 zhu2 shi4
绵竹县|mian2 zhu2 xian4
面砖|mian4 zhuan1
棉子|mian2 zi3
棉籽|mian2 zi3
面子|mian4 zi3
棉子油|mian2 zi3 you2
免罪|mian3 zui4
妙笔|miao4 bi3
妙笔生花|miao4 bi3 sheng1 hua1
秒表|miao3 biao3
妙策|miao4 ce4
妙处|miao4 chu4
邈处欿视|miao3 chu4 kan3 shi4
苗床|miao2 chuang2
庙岛海峡|miao4 dao3 hai3 xia2
妙法|miao4 fa3
妙方|miao4 fang1
庙号|miao4 hao4
描红|miao2 hong2
描画|miao2 hua4
庙会|miao4 hui4
描绘|miao2 hui4
妙计|miao4 ji4
描记|miao2 ji4
妙济丸|miao4 ji4 wan2
描记装置|miao2 ji4 zhuang1 zhi4
苗家|miao2 jia1
描金|miao2 jin1
妙境|miao4 jing4
妙诀|miao4 jue2
妙绝时人|miao4 jue2 shi2 ren2
妙丽|miao4 li4
苗栗|miao2 li4
苗栗市|miao2 li4 shi4
苗栗县|miao2 li4 xian4
妙莲|miao4 lian2
妙莲二号|miao4 lian2 er4 hao4
妙灵|miao4 ling2
妙龄|miao4 ling2
妙灵丸|miao4 ling2 wan2
描龙绣凤|miao2 long2 xiu4 feng4
妙论|miao4 lun4
渺茫|miao3 mang2
描眉|miao2 mei2
渺渺|miao3 miao3
苗苗|miao2 miao2
渺渺茫茫|miao3 miao3 mang2 mang2
邈邈昭昭|miao3 miao3 zhao1 zhao1
渺渺真人|miao3 miao3 zhen1 ren2
描摹|miao2 mo2
苗木|miao2 mu4
妙纳|miao4 na4
妙品|miao4 pin3
苗圃|miao2 pu3
苗期|miao2 qi1
苗情|miao2 qing2
妙趣|miao4 qu4
妙趣横生|miao4 qu4 heng2 sheng1
渺然|miao3 ran2
邈如旷世|miao3 ru2 kuang4 shi4
邈若河汉|miao3 ruo4 he2 han4
邈若河山|miao3 ruo4 he2 shan1
邈若山河|miao3 ruo4 shan1 he2
描神画鬼|miao2 shen2 hua4 gui3
藐视|miao3 shi4
妙手|miao4 shou3
妙手丹青|miao4 shou3 dan1 qing1
妙手回春|miao4 shou3 hui2 chun1
妙手空空|miao4 shou3 kong1 kong1
妙手偶得|miao4 shou3 ou3 de2
描述|miao2 shu4
描述符表|miao2 shu4 fu2 biao3
描述统计|miao2 shu4 tong3 ji4
眇禗禗|miao3 si1 si1
妙算|miao4 suan4
妙算神机|miao4 suan4 shen2 ji1
庙堂|miao4 tang2
苗条|miao2 tiao2
苗头|miao2 tou2
描头画角|miao2 tou2 hua4 jiao3
描图|miao2 tu2
描图纸|miao2 tu2 zhi3
妙舞清歌|miao4 wu3 qing1 ge1
渺无人迹|miao3 wu2 ren2 ji4
渺无人烟|miao3 wu2 ren2 yan1
渺无人踪|miao3 wu2 ren2 zong1
渺无音信|miao3 wu2 yin1 xin4
渺无音讯|miao3 wu2 yin1 xun4
渺无影踪|miao3 wu2 ying3 zong1
渺无踪影|miao3 wu2 zong1 ying3
苗乡|miao2 xiang1
妙想天开|miao4 xiang3 tian1 kai1
渺小|miao3 xiao3
藐小|miao3 xiao3
描写|miao2 xie3
描写画角|miao2 xie3 hua4 jiao3
苗绣|miao2 xiu4
描叙|miao2 xu4
妙言要道|miao4 yan2 yao4 dao4
妙药|miao4 yao4
苗裔|miao2 yi4
邈以山河|miao3 yi3 shan1 he2
妙用|miao4 yong4
妙语|miao4 yu3
庙宇|miao4 yu3
苗语|miao2 yu3
妙语解烦|miao4 yu3 jie3 fan2
妙语解颐|miao4 yu3 jie3 yi2
妙语惊人|miao4 yu3 jing1 ren2
妙语连珠|miao4 yu3 lian2 zhu1
妙语如珠|miao4 yu3 ru2 zhu1
渺远|miao3 yuan3
邈远|miao3 yuan3
苗元礼|miao2 yuan2 li3
苗寨|miao2 zhai4
秒针|miao3 zhen1
秒钟|miao3 zhong1
庙主|miao4 zhu3
庙祝|miao4 zhu4
苗壮壮|miao2 zhuang4 zhuang4
瞄准|miao2 zhun3
瞄准镜|miao2 zhun3 jing4
瞄准射击|miao2 zhun3 she4 ji1
庙子|miao4 zi3
苗子|miao2 zi3
苗族|miao2 zu2
苗祖唐方|miao2 zu3 tang2 fang1
灭澳灵|mie4 ao4 ling2
灭澳灵片|mie4 ao4 ling2 pian4
灭茬|mie4 cha2
蔑称|mie4 cheng1
灭此朝食|mie4 ci3 zhao1 shi2
灭滴|mie4 di1
灭敌灵|mie4 di2 ling2
灭滴栓|mie4 di1 shuan1
灭点|mie4 dian3
灭顶|mie4 ding3
灭顶水精|mie4 ding3 shui3 jing1
灭顶之灾|mie4 ding3 zhi1 zai1
灭法金鳞|mie4 fa3 jin1 lin2
篾工|mie4 gong1
灭虢取虞|mie4 guo2 qu3 yu2
篾黄|mie4 huang2
灭魂拳套|mie4 hun2 quan2 tao4
灭火|mie4 huo3
灭火剂|mie4 huo3 ji4
灭火器|mie4 huo3 qi4
灭活疫苗|mie4 huo2 yi4 miao2
灭活因子|mie4 huo2 yin1 zi3
灭迹|mie4 ji4
篾匠|mie4 jiang4
灭绝|mie4 jue2
灭绝人性|mie4 jue2 ren2 xing4
灭绝胸甲|mie4 jue2 xiong1 jia3
灭菌|mie4 jun1
灭菌法|mie4 jun1 fa3
灭菌水|mie4 jun1 shui3
灭口|mie4 kou3
灭龙|mie4 long2
蔑伦悖理|mie4 lun2 bei4 li3
灭螺鱼安|mie4 luo2 yu2 an1
灭门|mie4 men2
灭门绝户|mie4 men2 jue2 hu4
蠛蠓|mie4 meng3
篾片|mie4 pian4
篾青|mie4 qing1
灭杀|mie4 sha1
蔑视|mie4 shi4
灭世法王|mie4 shi4 fa3 wang2
灭湿痛|mie4 shi1 tong4
灭丝菌|mie4 si1 jun1
灭糖灵|mie4 tang2 ling2
灭特尼|mie4 te4 ni2
灭天|mie4 tian1
篾条|mie4 tiao2
灭亡|mie4 wang2
篾席|mie4 xi2
乜斜|mie1 xie2
灭蝇|mie4 ying2
灭景追风|mie4 ying1 zhui1 feng1
灭种|mie4 zhong3
篾子|mie4 zi3
灭族|mie4 zu2
民安国泰|min2 an1 guo2 tai4
民安物阜|min2 an1 wu4 fu4
民办|min2 ban4
民办高校|min2 ban4 gao1 xiao4
民办教师|min2 ban4 jiao4 shi1
民胞物与|min2 bao1 wu4 yu3
民保于信|min2 bao3 yu2 xin4
民变|min2 bian4
民兵|min2 bing1
民船|min2 chuan2
民淳俗厚|min2 chun2 su2 hou4
闵春晓|min3 chun1 xiao3
民粹派|min2 cui4 pai4
敏迪|min3 di2
民调|min2 diao4
敏定偶|min3 ding4 ou3
闽东建曲|min3 dong1 jian4 qu3
闵恩泽|min3 en1 ze2
敏而好学|min3 er2 hao3 xue2
敏尔之生|min3 er3 zhi1 sheng1
民法|min2 fa3
民房|min2 fang2
民防|min2 fang2
民愤|min2 fen4
民丰|min2 feng1
民风|min2 feng1
民丰县|min2 feng1 xian4
民夫|min2 fu1
民富国强|min2 fu4 guo2 qiang2
敏感|min3 gan3
敏感度|min3 gan3 du4
敏感故障|min3 gan3 gu4 zhang4
敏感期|min3 gan3 qi1
敏感数据|min3 gan3 shu4 ju4
敏感图案|min3 gan3 tu2 an4
敏感细菌|min3 gan3 xi4 jun1
敏感性|min3 gan3 xing4
敏感阈|min3 gan3 yu4
敏感元件|min3 gan3 yuan2 jian4
民告官|min2 gao4 guan1
民膏民脂|min2 gao1 min2 zhi1
民歌|min2 ge1
民革|min2 ge2
民工|min2 gong1
民工潮|min2 gong1 chao2
民贵君轻|min2 gui4 jun1 qing1
民航|min2 hang2
闵行|min3 xing4
闵行区|min3 xing4 qu1
民和|min2 he2
民和年丰|min2 he2 nian2 feng1
民和年稔|min2 he2 nian2 ren3
闽侯|min3 hou2
闽侯县|min3 hou2 xian4
敏化|min3 hua4
敏慧|min3 hui4
民家|min2 jia1
民建|min2 jian4
民间|min2 jian1
民间故事|min2 jian1 gu4 shi4
民间文学|min2 jian1 wen2 xue2
民间舞|min2 jian1 wu3
民间艺术|min2 jian1 yi4 shu4
民间音乐|min2 jian1 yin1 yue4
岷江|min2 jiang1
闽江|min3 jiang1
敏捷|min3 jie2
敏捷卷轴|min3 jie2 juan3 zhou2
敏捷衰减|min3 jie2 shuai1 jian3
敏捷提高|min3 jie2 ti2 gao1
敏捷药剂|min3 jie2 yao4 ji4
敏捷之|min3 jie2 zhi1
民警|min2 jing3
民居|min2 ju1
闽剧|min3 ju4
民康物阜|min2 kang1 wu4 fu4
敏可静|min3 ke3 jing4
民困国贫|min2 kun4 guo2 pin2
民乐|min2 yue4
民乐县|min2 le4 xian4
民力|min2 li4
闽吏得之|min3 li4 de2 zhi1
敏立可|min3 li4 ke3
闵乱思治|min3 luan4 si1 zhi4
民盟|min2 meng2
黾勉从役|min1 mian3 cong2 yi4
泯灭|min3 mie4
民命|min2 ming4
民瘼|min2 mo4
泯没|min3 mo4
愍农也|min3 nong2 ye3
民诺宾|min2 nuo4 bin1
民女|min2 nv3
民品|min2 pin3
敏奇|min3 qi2
民气|min2 qi4
民勤|min2 qin2
民勤县|min2 qin2 xian4
民情|min2 qing2
闽清|min3 qing1
闽清县|min3 qing1 xian4
民穷财尽|min2 qiong2 cai2 jin4
民穷财匮|min2 qiong2 cai2 kui4
民权|min2 quan2
民权县|min2 quan2 xian4
民权主义|min2 quan2 zhu3 yi4
敏锐|min3 rui4
敏锐大师|min3 rui4 da4 shi1
岷山|min2 shan1
民社党|min2 she4 dang3
民生|min2 sheng1
民生凋敝|min2 sheng1 diao1 bi4
民生国计|min2 sheng1 guo2 ji4
民生街道|min2 sheng1 jie1 dao4
民生涂炭|min2 sheng1 tu2 tan4
民生在勤|min2 sheng1 zai4 qin2
民生主义|min2 sheng1 zhu3 yi4
民事|min2 shi4
悯时病俗|min3 shi2 bing4 su2
民事法庭|min2 shi4 fa3 ting2
敏使朗|min3 shi3 lang3
敏使朗片|min3 shi3 lang3 pian4
民事权利|min2 shi4 quan2 li4
民事诉讼|min2 shi4 su4 song4
民俗|min2 su2
民俗学|min2 su2 xue2
民庭|min2 ting2
民望|min2 wang4
民为我战|min2 wei2 wo3 zhan4
民熙物阜|min2 xi1 wu4 fu4
岷县|min2 xian4
民心|min2 xin1
民选|min2 xuan3
民谚|min2 yan4
民谣|min2 yao2
民意|min2 yi4
民意测验|min2 yi4 ce4 yan4
民意调查|min2 yi4 diao4 cha2
民殷财阜|min2 yin1 cai2 fu4
民殷国富|min2 yin1 guo2 fu4
民营|min2 ying2
民营公司|min2 ying2 gong1 si1
民用|min2 yong4
民用航空|min2 yong4 hang2 kong1
民用建筑|min2 yong4 jian4 zhu4
民忧|min2 you1
民有菜色|min2 you3 cai4 se4
敏于事|min3 yu2 shi4
缗鱼于渊|min2 yu2 yu2 yuan1
民怨|min2 yuan4
民怨沸腾|min2 yuan4 fei4 teng2
民约|min2 yue1
民运|min2 yun4
民贼|min2 zei2
民贼独夫|min2 zei2 du2 fu1
民宅|min2 zhai2
民政|min2 zheng4
民智|min2 zhi4
皿治林|min3 zhi4 lin2
民脂民膏|min2 zhi1 min2 gao1
民众|min2 zhong4
民主|min2 zhu3
民主党|min2 zhu3 dang3
民主党派|min2 zhu3 dang3 pai4
民主改革|min2 zhu3 gai3 ge2
民主革命|min2 zhu3 ge2 ming4
民主国|min2 zhu3 guo2
民主化|min2 zhu3 hua4
民主派|min2 zhu3 pai4
民主人士|min2 zhu3 ren2 shi4
民主生活|min2 zhu3 sheng1 huo2
民主也门|min2 zhu3 ye3 men2
民主政治|min2 zhu3 zheng4 zhi4
民主主义|min2 zhu3 zhu3 yi4
抿子|min3 zi3
民族|min2 zu2
民族服装|min2 zu2 fu2 zhuang1
民族宫|min2 zu2 gong1
民族化|min2 zu2 hua4
民族魂|min2 zu2 hun2
民族利益|min2 zu2 li4 yi4
民族矛盾|min2 zu2 mao2 dun4
民族平等|min2 zu2 ping2 deng3
民族融合|min2 zu2 rong2 he2
民族团结|min2 zu2 tuan2 jie2
民族文化|min2 zu2 wen2 hua4
民族乡|min2 zu2 xiang1
民族形式|min2 zu2 xing2 shi4
民族学|min2 zu2 xue2
民族学院|min2 zu2 xue2 yuan4
民族压迫|min2 zu2 ya1 po4
民族英雄|min2 zu2 ying1 xiong2
民族运动|min2 zu2 yun4 dong4
民族之林|min2 zu2 zhi1 lin2
民族主义|min2 zu2 zhu3 yi4
民族资本|min2 zu2 zi1 ben3
民族自决|min2 zu2 zi4 jue2
民族自治|min2 zu2 zi4 zhi4
抿嘴|min3 zui3
冥暗|ming2 an4
命案|ming4 an4
明暗|ming2 an4
明暗处理|ming2 an4 chu4 li3
酩氨酸|ming3 an1 suan1
明白|ming2 bai2
明白了当|ming2 bai2 liao3 dang1
明白人|ming2 bai2 ren2
明摆着|ming2 bai3 zhe5
命薄缘悭|ming4 bao2 yuan2 qian1
冥币|ming2 bi4
命笔|ming4 bi3
明辨|ming2 bian4
鸣鞭|ming2 bian1
明辨是非|ming2 bian4 shi4 fei1
名标青史|ming2 biao1 qing1 shi3
名菜|ming2 cai4
名册|ming2 ce4
名刹|ming2 cha4
名茶|ming2 cha2
明察|ming2 cha2
明察暗访|ming2 cha2 an4 fang3
明查暗访|ming2 cha2 an4 fang3
明察秋毫|ming2 cha2 qiu1 hao2
名产|ming2 chan3
名厂|ming2 chang3
明畅|ming2 chang4
鸣唱|ming2 chang4
冥钞|ming2 chao1
明朝|ming2 chao2
明澈|ming2 che4
名臣|ming2 chen2
明晨|ming2 chen2
名城|ming2 cheng2
名称|ming2 cheng1
名称机构|ming2 cheng1 ji1 gou4
明耻教战|ming2 chi3 jiao4 zhan4
螟虫|ming2 chong2
命俦啸侣|ming4 chou2 xiao4 lv3
名厨|ming2 chu2
明处|ming2 chu4
明窗几净|ming2 chuang1 ji3 jing4
明窗净几|ming2 chuang1 jing4 ji3
名垂后世|ming2 chui2 hou4 shi4
名垂千古|ming2 chui2 qian1 gu3
名垂青史|ming2 chui2 qing1 shi3
名垂万古|ming2 chui2 wan4 gu3
名垂竹帛|ming2 chui2 zhu2 bo2
明春|ming2 chun1
名次|ming2 ci4
名词|ming2 ci2
名词短语|ming2 ci2 duan3 yu3
命词遣意|ming4 ci2 qian3 yi4
命辞遣意|ming4 ci2 qian3 yi4
名从主人|ming2 cong2 zhu3 ren2
名存实爽|ming2 cun2 shi2 shuang3
名存实亡|ming2 cun2 shi2 wang2
命大|ming4 da4
明达|ming2 da2
明代|ming2 dai4
名单|ming2 dan1
名旦|ming2 dan4
明党参|ming2 dang3 shen1
明德佩|ming2 de2 pei4
明德惟聪|ming2 de2 wei2 cong1
明德惟馨|ming2 de2 wei2 xin1
名德重望|ming2 de2 zhong4 wang4
明灯|ming2 deng1
鸣笛|ming2 di2
名调用|ming2 diao4 yong4
命定|ming4 ding4
酩酊|ming3 ding3
酩酊大醉|ming3 ding3 da4 zui4
酩酊烂醉|ming3 ding3 lan4 zui4
名都|ming2 du1
明度|ming2 du4
明度对比|ming2 du4 dui4 bi3
明断|ming2 duan4
名额|ming2 e2
明儿|ming2 er2
明儿个|ming2 er2 ge4
明罚敕法|ming2 fa2 chi4 fa3
明法审令|ming2 fa3 shen3 ling4
明矾|ming2 fan2
鸣放|ming2 fang4
名分|ming2 fen1
鸣凤朝阳|ming2 feng4 zhao1 yang2
冥府|ming2 fu3
冥蝠|ming2 fu2
命赴黄泉|ming4 fu4 huang2 quan2
冥府力士|ming2 fu3 li4 shi4
铭肤镂骨|ming2 fu1 lou4 gu3
冥府马面|ming2 fu3 ma3 mian4
冥府牛头|ming2 fu3 niu2 tou2
名副其实|ming2 fu4 qi2 shi2
名符其实|ming2 fu2 qi2 shi2
冥府项链|ming2 fu3 xiang5 lian4
铭感|ming2 gan3
铭感五内|ming2 gan3 wu3 nei4
鸣皋歌|ming2 gao1 ge1
名高难副|ming2 gao1 nan2 fu4
名高天下|ming2 gao1 tian1 xia4
命根|ming4 gen1
命根子|ming4 gen1 zi3
名公巨卿|ming2 gong1 ju4 qing1
名公钜卿|ming2 gong1 ju4 qing1
名公巨人|ming2 gong1 ju4 ren2
名公钜人|ming2 gong1 ju4 ren2
明公正道|ming2 gong1 zheng4 dao4
明公正气|ming2 gong1 zheng4 qi4
明公正义|ming2 gong1 zheng4 yi4
明沟|ming2 gou1
鸣鼓|ming2 gu3
鸣鼓而攻|ming2 gu3 er2 gong1
冥骨护符|ming2 gu3 hu4 fu2
名古屋|ming2 gu3 wu1
命官|ming4 guan1
鸣管|ming2 guan3
明光|ming2 guang1
明光市|ming2 guang1 shi4
明光烁亮|ming2 guang1 shuo4 liang4
明光腕甲|ming2 guang1 wan4 jia3
明光下铠|ming2 guang1 xia4 kai3
明光鞋|ming2 guang1 xie2
明光锃亮|ming2 guang1 zeng4 liang4
明光战铠|ming2 guang1 zhan4 kai3
明光铮亮|ming2 guang1 zheng1 liang4
名贵|ming2 gui4
名贵乐器|ming2 gui4 yue4 qi4
名过其实|ming2 guo4 qi2 shi2
螟害|ming2 hai4
名号|ming2 hao4
命好|ming4 hao3
冥河圆盾|ming2 he2 yuan2 dun4
鸣何早|ming2 he2 zao3
冥河之握|ming2 he2 zhi1 wo4
鸣鹤之应|ming2 he4 zhi1 ying4
明后天|ming2 hou4 tian1
冥虎|ming2 hu3
冥虎之王|ming2 hu3 zhi1 wang2
名画|ming2 hua4
名花|ming2 hua1
明黄|ming2 huang2
明晃晃|ming2 huang3 huang3
名讳|ming2 hui4
明慧|ming2 hui4
明婚正配|ming2 hun1 zheng4 pei4
明婚正娶|ming2 hun1 zheng4 qu3
冥火|ming2 huo3
明火|ming2 huo3
明火持杖|ming2 huo3 chi2 zhang4
明藿降脂|ming2 huo4 jiang4 zhi1
冥火岭|ming2 huo3 ling3
明火执械|ming2 huo3 zhi2 xie4
明火执仗|ming2 huo3 zhi2 zhang4
明火执杖|ming2 huo3 zhi2 zhang4
名迹|ming2 ji4
铭记|ming2 ji4
名鞿利鞚|ming2 ji1 li4 kong4
铭肌镂骨|ming2 ji1 lou4 gu3
名家|ming2 jia1
明价|ming2 jia4
明鉴|ming2 jian4
明间儿|ming2 jian1 er2
命蹇时乖|ming4 jian3 shi2 guai1
明见万里|ming2 jian4 wan4 li3
名匠|ming2 jiang4
名将|ming2 jiang1
名缰利锁|ming2 jiang1 li4 suo3
明教|ming2 jiao4
明胶|ming2 jiao1
鸣叫|ming2 jiao4
明胶海绵|ming2 jiao1 hai3 mian2
名节|ming2 jie2
明洁|ming2 jie2
鸣金|ming2 jin1
鸣金收兵|ming2 jin1 shou1 bing1
鸣金收军|ming2 jin1 shou1 jun1
明净|ming2 jing4
明镜|ming2 jing4
明镜高悬|ming2 jing4 gao1 xuan2
明镜湖|ming2 jing4 hu2
明镜剑|ming2 jing4 jian4
名酒|ming2 jiu3
名剧|ming2 ju4
名句|ming2 ju4
名角|ming2 jue2
名角儿|ming2 jue2 er2
明君|ming2 jun1
铭刻|ming2 ke4
鸣珂锵玉|ming2 ke1 qiang1 yu4
明可欣|ming2 ke3 xin1
洺口镇|ming2 kou3 zhen4
命苦|ming4 ku3
明快|ming2 kuai4
明来暗往|ming2 lai2 an4 wang3
冥狼|ming2 lang2
明朗|ming2 lang3
明朗化|ming2 lang3 hua4
名利|ming2 li4
明丽|ming2 li4
明理|ming2 li3
明里|ming2 li3
名利场|ming2 li4 chang3
名利双收|ming2 li4 shuang1 shou1
明立欣|ming2 li4 xin1
命里注定|ming4 li3 zhu4 ding4
明廉暗察|ming2 lian2 an4 cha2
明亮|ming2 liang4
明亮篝火|ming2 liang4 gou1 huo3
明了|ming2 liao3
名列|ming2 lie4
名列榜首|ming2 lie4 bang3 shou3
名列前茅|ming2 lie4 qian2 mao2
明鳞腰带|ming2 lin2 yao1 dai4
名伶|ming2 ling2
命令|ming4 ling4
明令|ming2 ling4
螟蛉|ming2 ling2
命令重试|ming4 ling4 chong2 shi4
命令法杖|ming4 ling4 fa3 zhang4
命令接口|ming4 ling4 jie1 kou3
命令句|ming4 ling4 ju4
命令名|ming4 ling4 ming2
命令怒吼|ming4 ling4 nu4 hou3
命令审判|ming4 ling4 shen3 pan4
命令圣印|ming4 ling4 sheng4 yin4
命令系统|ming4 ling4 xi4 tong3
命令语言|ming4 ling4 yu3 yan2
命令之吼|ming4 ling4 zhi1 hou3
命令主义|ming4 ling4 zhu3 yi4
命令字|ming4 ling4 zi4
命令作业|ming4 ling4 zuo4 ye4
名流|ming2 liu2
名流巨子|ming2 liu2 ju4 zi3
名录|ming2 lu4
明露|ming2 lu4
名录服务|ming2 lu4 fu2 wu4
鸣鸾|ming2 luan2
鸣鸾腰饰|ming2 luan2 yao1 shi4
鸣锣喝道|ming2 luo2 he1 dao4
鸣锣开道|ming2 luo2 kai1 dao4
名落孙山|ming2 luo4 sun1 shan1
明码|ming2 ma3
明码标价|ming2 ma3 biao1 jia4
命脉|ming4 mai4
名满天下|ming2 man3 tian1 xia4
名贸实易|ming2 mao4 shi2 yi4
明媚|ming2 mei4
明媒正礼|ming2 mei2 zheng4 li3
明媒正娶|ming2 mei2 zheng4 qu3
名门|ming2 men2
命门|ming4 men2
名门世族|ming2 men2 shi4 zu2
名门望族|ming2 men2 wang4 zu2
命门穴|ming4 men2 xue2
冥蒙|ming2 meng2
明面|ming2 mian4
明灭|ming2 mie4
冥冥|ming2 ming2
命名|ming4 ming2
明明|ming2 ming2
明明白白|ming2 ming2 bai2 bai2
命名法规|ming4 ming2 fa3 gui1
明明赫赫|ming2 ming2 he4 he4
命名约定|ming4 ming2 yue1 ding4
名模|ming2 mo2
冥漠之都|ming2 mo4 zhi1 dou1
冥漠之乡|ming2 mo4 zhi1 xiang1
明眸|ming2 mou2
